"CASE";"MA01_01";"MA02";"MA05_01";"MA05_02";"MA05_03";"MA05_04";"MA06_01";"MA06_02";"MA06_03";"MA07_01";"MA07_02";"MA07_03";"MA07_04";"MA07_05";"MA07_06";"MA08_01";"MA08_02";"MA08_03";"MA08_04";"MA08_05";"MA08_06";"RM01";"TS01_01";"TS03";"TS04";"TS18";"TS12_01";"TS13";"TS16"
"596";596;10;"Ungerecht";2;2;2;3;4;2;4;3;5;2;3;3;5;1;2;1;2;4;1;1;22;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Kein Einkommen";7;"Deutsch ist meine Muttersprache.";"5"
"597";597;6;"Eher gerecht";3;4;3;5;4;3;3;3;4;3;4;4;4;3;4;3;2;4;2;1;25;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";7;"Deutsch ist meine Muttersprache.";"3"
"598";598;8;"Eher ungerecht";2;3;2;2;4;1;3;4;4;2;3;4;4;3;4;3;4;5;4;3;23;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";4;"Deutsch ist meine Muttersprache.";"7"
"602";602;5;"Eher gerecht";5;5;5;5;4;2;4;2;5;3;4;4;4;3;4;4;3;3;4;4;23;"Männlich";"Bachelor - Abschluss";"Kein Einkommen";5;"Ich spreche gut deutsch.";"6"
"603";603;9;"Eher ungerecht";4;3;2;3;4;3;3;4;4;3;3;3;4;3;3;3;4;2;2;2;22;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";5;"Deutsch ist meine Muttersprache.";"5"
"604";604;6;"Eher ungerecht";5;3;5;3;2;3;4;3;3;4;2;4;2;3;4;4;3;5;4;1;23;"Weiblich";"Bachelor - Abschluss";"2000€ bis unter 3000€";5;"Deutsch ist meine Muttersprache.";"7"
"607";607;10;"Ungerecht";3;3;2;3;4;2;4;4;4;4;4;5;4;2;2;3;2;3;2;3;63;"Männlich";"Fachhochschulabschluss";"2000€ bis unter 3000€";5;"Deutsch ist meine Muttersprache.";"7"
"610";610;10;"Ungerecht";1;1;1;1;3;1;3;2;3;3;3;3;1;1;1;1;1;1;1;3;28;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";2;"Ich spreche sehr gut deutsch.";"3"
"613";613;6;"Eher ungerecht";4;3;3;3;3;3;3;3;4;3;3;3;4;2;1;1;1;2;1;4;20;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";5;"Deutsch ist meine Muttersprache.";"8"
"616";616;8;"Eher ungerecht";3;3;3;4;2;3;2;1;3;1;1;1;1;1;3;1;1;2;3;2;28;"Männlich";"Master - Abschluss";"2000€ bis unter 3000€";3;"Deutsch ist meine Muttersprache.";"7"
"619";619;9;"Ungerecht";2;2;2;1;3;2;4;4;5;3;3;3;3;2;2;3;1;3;3;3;28;"Weiblich";"Master - Abschluss";"2000€ bis unter 3000€";3;"Deutsch ist meine Muttersprache.";"8"
"620";620;5;"Weder noch";4;4;5;4;3;2;2;3;4;2;3;3;5;3;2;3;2;5;4;4;24;"Männlich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"1000€ bis unter 2000€";6;"Deutsch ist meine Muttersprache.";"5"
"625";625;9;"Ungerecht";2;2;1;2;2;2;3;3;4;1;2;2;3;1;1;2;1;2;1;1;24;"Männlich";"Bachelor - Abschluss";"1000€ bis unter 2000€";3;"Deutsch ist meine Muttersprache.";"7"
"632";632;2;"Eher ungerecht";1;2;3;2;3;1;3;2;4;3;4;5;3;1;1;1;1;1;1;4;26;"Weiblich";"Master - Abschluss";"Unter 1000€";2;"Deutsch ist meine Muttersprache.";"7"
"636";636;10;"Ungerecht";2;2;2;2;4;2;4;4;4;3;4;4;4;2;2;3;3;4;2;2;25;"Weiblich";"Bachelor - Abschluss";"Kein Einkommen";2;"Deutsch ist meine Muttersprache.";"6"
"637";637;7;"Eher ungerecht";3;3;2;4;4;2;2;2;2;2;2;2;4;1;3;2;4;2;5;3;22;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";3;"Deutsch ist meine Muttersprache.";"7"
"639";639;9;"Ungerecht";2;2;1;2;2;3;2;3;2;2;2;1;2;2;2;3;1;1;1;1;19;"Männlich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Kein Einkommen";2;"Deutsch ist meine Muttersprache.";"7"
"642";642;8;"Eher ungerecht";3;3;3;4;3;2;3;3;4;3;4;3;3;2;3;3;5;4;5;4;27;"Männlich";"Bachelor - Abschluss";"1000€ bis unter 2000€";7;"Deutsch ist meine Muttersprache.";"7"
"643";643;5;"Weder noch";4;1;1;4;4;3;4;1;2;1;2;2;4;3;4;3;2;1;3;4;26;"Männlich";"Master - Abschluss";"[NA] Keine Angabe gewünscht.";6;"Deutsch ist meine Muttersprache.";"2"
"646";646;2;"Eher ungerecht";3;4;3;3;4;3;4;3;2;2;3;2;2;2;3;1;1;1;2;3;20;"Männlich";"Bachelor - Abschluss";"Unter 1000€";1;"Deutsch ist meine Muttersprache.";"8"
"647";647;9;"[NA] Kann ich nicht sagen";4;3;3;4;4;2;4;4;4;3;4;4;4;2;2;3;1;3;2;2;19;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";4;"Deutsch ist meine Muttersprache.";"7"
"652";652;7;"Eher ungerecht";1;1;1;1;4;2;4;4;3;2;3;4;3;2;1;1;1;1;1;1;24;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";2;"Deutsch ist meine Muttersprache.";"3"
"669";669;8;"Eher ungerecht";3;3;2;3;3;3;2;2;2;1;1;1;3;3;4;2;1;1;4;1;28;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Kein Einkommen";5;"Ich spreche sehr gut deutsch.";"6"
"682";682;8;"Eher ungerecht";4;2;2;3;5;2;4;3;4;3;4;4;4;2;3;2;2;5;4;3;21;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";3;"Deutsch ist meine Muttersprache.";"7"
"683";683;7;"Eher ungerecht";2;2;2;3;4;4;3;2;3;1;2;2;4;1;1;1;2;4;2;2;36;"Weiblich";"Bachelor - Abschluss";"2000€ bis unter 3000€";8;"Deutsch ist meine Muttersprache.";"8"
"698";698;7;"Weder noch";4;4;4;4;3;2;4;3;4;3;4;4;4;4;4;3;3;4;4;3;32;"Männlich";"Master - Abschluss";"4000€ bis unter 5000€ (7)";6;"Ich spreche sehr gut deutsch.";"6"
"699";699;6;"Eher ungerecht";4;3;4;3;4;2;4;3;5;3;4;4;4;4;4;3;4;6;5;4;22;"Männlich";"Bachelor - Abschluss";"Unter 1000€";6;"Deutsch ist meine Muttersprache.";"3"
"700";700;10;"Ungerecht";1;1;2;1;4;1;3;4;5;3;3;3;5;4;4;3;4;4;5;2;24;"Männlich";"Bachelor - Abschluss";"1000€ bis unter 2000€";7;"Deutsch ist meine Muttersprache.";"3"
"701";701;8;"Gerecht";7;6;5;7;3;3;3;2;5;3;3;3;5;3;4;3;3;3;3;1;29;"Männlich";"Doktor - Grad";"5000€ bis unter 6000€";6;"Deutsch ist meine Muttersprache.";"7"
"702";702;10;"Eher ungerecht";4;3;3;2;4;1;3;4;5;2;4;3;4;3;3;3;3;4;4;3;25;"Weiblich";"Bachelor - Abschluss";"2000€ bis unter 3000€";5;"Deutsch ist meine Muttersprache.";"4"
"703";703;10;"Sehr ungerecht";2;1;1;2;3;2;3;2;4;2;3;2;4;4;4;3;4;5;5;2;28;"Weiblich";"Master - Abschluss";"4000€ bis unter 5000€ (7)";5;"Deutsch ist meine Muttersprache.";"6"
"704";704;7;"Eher ungerecht";3;3;3;3;3;4;2;2;3;3;3;3;4;1;2;1;2;2;3;4;20;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"[NA] Keine Angabe gewünscht.";6;"Deutsch ist meine Muttersprache.";"7"
"712";712;3;"Eher gerecht";2;3;4;4;4;2;4;3;5;2;3;3;4;2;3;2;2;4;4;1;22;"Weiblich";"Bachelor - Abschluss";"2000€ bis unter 3000€";4;"Deutsch ist meine Muttersprache.";"7"
"721";721;7;"Eher gerecht";7;6;5;4;2;2;1;3;3;4;4;3;5;4;4;5;3;5;5;3;24;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";2;"Deutsch ist meine Muttersprache.";"8"
"722";722;9;"Ungerecht";1;2;1;2;4;2;4;4;4;2;3;3;4;1;1;2;1;1;1;4;25;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";3;"Deutsch ist meine Muttersprache.";"6"
"724";724;8;"Eher ungerecht";3;4;3;4;3;2;4;2;4;2;3;3;4;1;3;2;3;4;4;4;24;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";3;"Deutsch ist meine Muttersprache.";"4"
"728";728;7;"Eher ungerecht";5;5;5;5;2;4;3;3;4;2;3;3;4;2;5;4;2;3;4;2;20;"Männlich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";6;"Deutsch ist meine Muttersprache.";"4"
"736";736;7;"Eher ungerecht";2;2;2;2;4;3;3;3;4;3;3;3;4;2;3;3;1;3;2;1;24;"Weiblich";"Bachelor - Abschluss";"2000€ bis unter 3000€";5;"Deutsch ist meine Muttersprache.";"5"
"749";749;8;"Eher ungerecht";2;2;3;3;4;2;4;2;4;2;2;2;4;2;1;2;3;4;3;2;25;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";7;"Deutsch ist meine Muttersprache.";"6"
"752";752;7;"Weder noch";5;4;3;5;3;3;2;1;4;2;2;2;3;2;3;2;2;3;3;2;24;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"3000€ bis unter 4000€";3;"Deutsch ist meine Muttersprache.";"8"
"753";753;6;"[NA] Kann ich nicht sagen";5;5;5;5;4;2;4;2;3;2;3;3;3;3;3;2;2;3;3;4;24;"Männlich";"Master - Abschluss";"3000€ bis unter 4000€";7;"Deutsch ist meine Muttersprache.";"7"
"754";754;8;"Ungerecht";3;2;2;2;3;3;2;3;4;4;4;4;4;3;3;4;2;5;5;4;30;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";2;"Deutsch ist meine Muttersprache.";"3"
"758";758;7;"Eher ungerecht";3;4;3;5;4;2;4;4;4;4;4;4;4;3;2;2;2;4;3;1;22;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"1000€ bis unter 2000€";5;"Deutsch ist meine Muttersprache.";"9"
"764";764;9;"Ungerecht";4;3;1;2;4;3;3;3;3;2;3;2;3;2;2;2;1;3;4;2;21;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";2;"Deutsch ist meine Muttersprache.";"7"
"765";765;8;"Eher ungerecht";3;3;1;3;5;2;4;2;4;2;2;2;4;2;3;2;4;4;5;3;29;"Weiblich";"Master - Abschluss";"2000€ bis unter 3000€";5;"Deutsch ist meine Muttersprache.";"7"
"766";766;2;"Eher gerecht";3;5;2;3;4;3;3;3;4;2;3;3;4;2;5;2;4;4;3;1;33;"Männlich";"Master - Abschluss";"Unter 1000€";3;"Ich spreche sehr gut deutsch.";"7"
"774";774;6;"Eher ungerecht";6;3;2;3;2;3;2;2;4;2;3;3;3;1;2;3;2;3;1;3;27;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"1000€ bis unter 2000€";5;"Ich spreche sehr gut deutsch.";"4"
"781";781;8;"Weder noch";3;6;4;5;4;1;3;3;4;2;4;2;4;1;2;3;1;2;2;2;24;"Männlich";"Bachelor - Abschluss";"2000€ bis unter 3000€";6;"Deutsch ist meine Muttersprache.";"6"
"783";783;9;"Ungerecht";2;1;2;2;4;2;4;3;3;4;4;4;2;2;2;3;2;3;2;4;28;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";3;"Deutsch ist meine Muttersprache.";"8"
"784";784;10;"Ungerecht";2;2;2;1;2;3;2;1;3;1;1;1;3;1;1;1;1;1;1;2;25;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";4;"Deutsch ist meine Muttersprache.";"6"
"789";789;6;"Weder noch";6;5;5;5;4;1;4;4;4;3;3;4;4;1;1;3;1;2;1;1;26;"Männlich";"Master - Abschluss";"1000€ bis unter 2000€";6;"Deutsch ist meine Muttersprache.";"6"
"792";792;9;"Ungerecht";3;3;2;3;4;4;2;2;4;1;1;1;5;5;2;2;2;2;1;3;34;"Männlich";"Master - Abschluss";"3000€ bis unter 4000€";8;"Deutsch ist meine Muttersprache.";"7"
"793";793;5;"Eher ungerecht";2;2;2;2;3;4;3;3;3;3;3;3;3;3;5;3;3;5;5;4;29;"Männlich";"Bachelor - Abschluss";"3000€ bis unter 4000€";6;"Deutsch ist meine Muttersprache.";"7"
"804";804;8;"Eher gerecht";5;5;4;4;3;4;2;3;4;3;4;4;3;4;5;4;3;3;4;1;22;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";4;"Deutsch ist meine Muttersprache.";"6"
"810";810;8;"Eher ungerecht";3;4;3;3;5;2;5;4;4;3;4;4;3;3;3;3;3;3;4;2;44;"Weiblich";"Doktor - Grad";"[NA] Keine Angabe gewünscht.";4;"Deutsch ist meine Muttersprache.";"7"
"813";813;10;"Sehr ungerecht";1;1;1;1;3;3;3;2;4;2;2;2;1;1;1;1;1;2;2;4;26;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";2;"Deutsch ist meine Muttersprache.";"6"
"816";816;8;"Eher ungerecht";5;4;4;4;4;3;4;2;5;3;3;3;3;2;3;2;5;3;3;3;24;"Weiblich";"Fachhochschulabschluss";"1000€ bis unter 2000€";4;"Deutsch ist meine Muttersprache.";"6"
"817";817;1;"Ungerecht";2;2;2;2;4;2;3;2;2;1;1;1;1;2;1;1;4;3;5;2;25;"Weiblich";"Bachelor - Abschluss";"Kein Einkommen";6;"Deutsch ist meine Muttersprache.";"1"
"821";821;10;"Sehr ungerecht";1;2;1;1;4;2;4;2;4;3;2;3;4;1;1;1;1;3;2;1;31;"Weiblich";"Master - Abschluss";"2000€ bis unter 3000€";1;"Deutsch ist meine Muttersprache.";"8"
"828";828;10;"Sehr ungerecht";1;1;1;1;2;4;2;4;1;1;1;1;1;1;1;1;1;2;1;2;25;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";1;"Deutsch ist meine Muttersprache.";"2"
"834";834;9;"Sehr ungerecht";2;3;2;2;4;2;4;3;4;3;4;4;4;4;4;2;2;5;4;1;25;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";3;"Deutsch ist meine Muttersprache.";"8"
"835";835;9;"Eher ungerecht";4;3;3;3;3;2;4;4;5;4;5;4;4;1;1;4;5;4;4;3;24;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";3;"Ich spreche sehr gut deutsch.";"6"
"837";837;8;"Ungerecht";2;2;1;3;4;2;4;3;4;4;4;4;3;1;3;2;3;5;3;4;25;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";2;"Deutsch ist meine Muttersprache.";"7"
"839";839;10;"Sehr gerecht";7;7;7;7;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;4;22;"Weiblich";"kein Schulabschluss";"[NA] Keine Angabe gewünscht.";1;"Deutsch ist meine Muttersprache.";"3"
"841";841;8;"Eher ungerecht";3;3;3;4;3;3;4;2;4;3;3;3;4;2;3;3;2;2;2;4;22;"Weiblich";"Bachelor - Abschluss";"Kein Einkommen";6;"Deutsch ist meine Muttersprache.";"5"
"842";842;4;"Ungerecht";5;5;5;5;3;3;3;2;4;3;3;3;4;3;3;2;2;3;2;4;26;"Männlich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"[NA] Keine Angabe gewünscht.";5;"Deutsch ist meine Muttersprache.";"5"
"850";850;8;"Ungerecht";2;3;2;3;3;4;2;1;3;2;2;2;1;1;1;1;1;2;1;3;25;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";3;"Deutsch ist meine Muttersprache.";"5"
"851";851;10;"Ungerecht";1;1;1;1;3;2;4;1;1;1;1;1;2;1;1;1;1;1;1;1;55;"Divers";"Hauptschulabschluss";"[NA] Keine Angabe gewünscht.";1;"Deutsch ist meine Muttersprache.";"3"
"852";852;10;"Sehr ungerecht";1;1;1;1;3;4;2;4;4;3;2;2;3;1;2;2;1;1;2;3;22;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";2;"Deutsch ist meine Muttersprache.";"3"
"854";854;9;"Eher ungerecht";3;3;3;4;3;3;4;3;4;3;3;3;3;2;3;4;2;3;4;2;21;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"1000€ bis unter 2000€";5;"Deutsch ist meine Muttersprache.";"7"
"862";862;10;"Sehr ungerecht";1;1;1;1;4;4;2;1;3;1;1;1;4;1;1;1;1;1;1;4;22;"Weiblich";"Bachelor - Abschluss";"[NA] Keine Angabe gewünscht.";3;"Deutsch ist meine Muttersprache.";"7"
"864";864;9;"Ungerecht";1;1;1;1;4;4;2;1;4;1;1;1;5;2;1;1;1;4;1;1;22;"Weiblich";"Bachelor - Abschluss";"[NA] Keine Angabe gewünscht.";3;"Deutsch ist meine Muttersprache.";"8"
"868";868;6;"Eher ungerecht";3;3;3;3;4;2;4;2;4;1;2;2;4;3;2;2;3;2;3;4;24;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"1000€ bis unter 2000€";4;"Deutsch ist meine Muttersprache.";"6"
"870";870;7;"Eher ungerecht";2;2;1;2;2;5;2;3;1;2;3;3;4;1;2;1;5;1;2;2;30;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";6;"Deutsch ist meine Muttersprache.";"3"
"875";875;9;"Ungerecht";1;1;1;2;2;4;1;3;2;1;1;2;2;1;1;1;1;2;3;3;35;"Weiblich";"Realschulabschluss (Mittlere Reife)";"Unter 1000€";2;"Deutsch ist meine Muttersprache.";"3"
"880";880;7;"Eher ungerecht";2;2;2;3;2;4;2;2;1;1;4;4;4;2;1;2;2;3;2;1;26;"Weiblich";"Bachelor - Abschluss";"2000€ bis unter 3000€";3;"Deutsch ist meine Muttersprache.";"8"
"882";882;7;"Eher ungerecht";3;3;3;3;3;3;3;4;4;3;3;3;1;2;2;1;1;2;2;4;32;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Kein Einkommen";3;"Deutsch ist meine Muttersprache.";"2"
"883";883;3;"Weder noch";4;3;2;2;2;2;3;2;3;1;1;1;1;3;1;3;1;2;3;2;29;"Weiblich";"Master - Abschluss";"1000€ bis unter 2000€";3;"Ich spreche sehr gut deutsch.";"5"
"884";884;10;"Sehr ungerecht";1;1;1;1;3;4;2;4;3;2;1;1;1;1;1;1;1;1;1;3;33;"Weiblich";"Master - Abschluss";"Unter 1000€";1;"Deutsch ist meine Muttersprache.";"5"
"895";895;10;"Sehr ungerecht";1;1;1;1;4;3;3;1;4;2;1;1;4;2;3;3;1;3;1;1;23;"Weiblich";"Bachelor - Abschluss";"Kein Einkommen";5;"Deutsch ist meine Muttersprache.";"6"
"907";907;7;"Eher ungerecht";1;2;1;2;4;1;4;2;4;4;4;3;3;3;2;2;2;2;3;2;28;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"1000€ bis unter 2000€";4;"Deutsch ist meine Muttersprache.";"5"
"909";909;8;"Eher ungerecht";2;2;1;1;4;2;3;2;4;3;2;2;3;2;1;2;2;3;2;4;25;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";3;"Deutsch ist meine Muttersprache.";"6"
"914";914;7;"Gerecht";5;5;5;5;4;4;4;4;5;3;4;5;5;4;4;4;5;5;5;3;28;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";8;"Ich spreche sehr gut deutsch.";"2"
"924";924;9;"Eher gerecht";4;3;5;4;4;3;3;3;4;2;4;3;4;2;2;4;5;4;2;1;23;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";3;"Deutsch ist meine Muttersprache.";"5"
"933";933;4;"Gerecht";3;4;4;4;3;3;4;4;4;3;3;4;4;5;5;3;6;5;4;4;77;"Männlich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"2000€ bis unter 3000€";8;"Ich spreche gut deutsch.";"7"
"940";940;7;"Weder noch";5;5;5;5;3;3;3;3;3;3;4;4;5;4;4;3;6;3;4;2;29;"Weiblich";"Master - Abschluss";"5000€ bis unter 6000€";8;"Deutsch ist meine Muttersprache.";"8"
"958";958;7;"Eher ungerecht";4;3;2;4;3;4;3;2;3;1;2;2;2;6;4;5;4;5;4;1;24;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";2;"Deutsch ist meine Muttersprache.";"4"
"967";967;8;"Ungerecht";3;2;4;4;4;4;3;2;3;2;2;2;2;5;4;2;3;3;4;3;29;"Männlich";"Bachelor - Abschluss";"1000€ bis unter 2000€";5;"Ich spreche sehr gut deutsch.";"6"
"970";970;8;"Eher ungerecht";2;2;2;4;4;2;4;5;3;4;4;4;4;2;1;1;3;2;3;1;24;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";3;"Deutsch ist meine Muttersprache.";"7"
"988";988;7;"Eher ungerecht";4;3;3;3;3;3;3;2;3;2;3;3;2;2;3;3;4;3;2;2;23;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"1000€ bis unter 2000€";5;"Deutsch ist meine Muttersprache.";"5"
"993";993;10;"Eher ungerecht";5;6;5;4;5;3;4;1;1;3;5;4;3;2;2;3;3;2;2;4;20;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";6;"Deutsch ist meine Muttersprache.";"6"
"994";994;8;"Weder noch";6;6;6;4;5;2;3;4;4;4;4;4;4;4;4;3;4;5;6;4;20;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"2000€ bis unter 3000€";6;"Deutsch ist meine Muttersprache.";"6"
"997";997;7;"Ungerecht";3;2;2;2;4;2;4;4;5;3;3;3;4;2;2;2;3;4;4;4;22;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Kein Einkommen";4;"Deutsch ist meine Muttersprache.";"5"
"1015";1015;9;"Ungerecht";1;1;1;2;3;2;4;4;3;1;3;3;3;3;1;1;2;3;3;2;27;"Männlich";"Bachelor - Abschluss";"Kein Einkommen";4;"Deutsch ist meine Muttersprache.";"5"
"1027";1027;9;"Ungerecht";2;1;1;2;3;3;2;4;5;2;3;4;3;2;1;1;2;2;1;2;23;"Weiblich";"Bachelor - Abschluss";"Kein Einkommen";5;"Deutsch ist meine Muttersprache.";"5"
"1034";1034;9;"Ungerecht";1;1;1;1;3;4;3;3;3;1;1;1;3;1;1;1;1;2;1;4;35;"Weiblich";"Realschulabschluss (Mittlere Reife)";"Unter 1000€";3;"Deutsch ist meine Muttersprache.";"3"
"1055";1055;10;"Sehr ungerecht";2;2;2;1;4;3;4;2;3;1;3;3;3;1;1;1;1;1;1;3;58;"Weiblich";"Master - Abschluss";"2000€ bis unter 3000€";3;"Ich spreche sehr gut deutsch.";"3"
